datetime,exchange_balance,exchange_inflow,exchange_outflow,date,exchange_netflow
2025-07-06T00:00:00Z,-8556.6601392974,117381.2266355691,125937.88677486649,2025-07-06,-8556.660139297397
2025-07-07T00:00:00Z,-38891.75923634721,319045.49197863374,357937.25121498096,2025-07-07,-38891.75923634722
2025-07-08T00:00:00Z,-10522.461714228184,323920.2711168189,334442.7328310471,2025-07-08,-10522.461714228208
2025-07-09T00:00:00Z,42999.500409248554,501071.831479967,458072.3310707185,2025-07-09,42999.50040924852
2025-07-10T00:00:00Z,-38463.50967756089,608129.6873645306,646593.1970420915,2025-07-10,-38463.50967756088
2025-07-11T00:00:00Z,-140939.7021343399,733316.0470681299,874255.7492024698,2025-07-11,-140939.70213433995
2025-07-12T00:00:00Z,-1918.975302657904,160346.30377718786,162265.27907984576,2025-07-12,-1918.9753026578983
2025-07-13T00:00:00Z,-28806.191669428503,172913.43825179272,201719.6299212212,2025-07-13,-28806.19166942849
2025-07-14T00:00:00Z,-47917.9059532771,575319.9050078759,623237.810961153,2025-07-14,-47917.905953277135
2025-07-15T00:00:00Z,-4951.072484525488,551416.1940566233,556367.2665411488,2025-07-15,-4951.072484525503
2025-07-16T00:00:00Z,13113.92274647043,746075.9584053068,732962.0356588364,2025-07-16,13113.92274647043
2025-07-17T00:00:00Z,-20696.653276467416,804402.7378229249,825099.3910993923,2025-07-17,-20696.653276467463
2025-07-18T00:00:00Z,-96675.29991295154,931242.9504436002,1027918.2503565517,2025-07-18,-96675.29991295154
2025-07-19T00:00:00Z,-46479.22684118606,223396.08717594823,269875.31401713425,2025-07-19,-46479.22684118603
2025-07-20T00:00:00Z,135740.052126906,425151.2001764852,289411.1480495792,2025-07-20,135740.052126906
2025-07-21T00:00:00Z,28810.920140832186,820460.364555523,791649.4444146908,2025-07-21,28810.920140832197
2025-07-22T00:00:00Z,-77495.0634077946,553015.0814158324,630510.144823627,2025-07-22,-77495.06340779457
2025-07-23T00:00:00Z,-99228.72027805768,692077.6003554453,791306.320633503,2025-07-23,-99228.72027805774
2025-07-24T00:00:00Z,-277856.861788081,540460.5917340838,818317.4535221648,2025-07-24,-277856.861788081
2025-07-25T00:00:00Z,-127971.10091253385,571481.5950532783,699452.6959658121,2025-07-25,-127971.10091253382
2025-07-26T00:00:00Z,-9222.78543097548,229943.49082187586,239166.27625285136,2025-07-26,-9222.785430975491
2025-07-27T00:00:00Z,21181.54306079891,272868.59997946525,251687.05691866635,2025-07-27,21181.543060798896
2025-07-28T00:00:00Z,90933.51239667274,564123.2683903297,473189.755993657,2025-07-28,90933.51239667268
2025-07-29T00:00:00Z,-103972.55871413341,352959.9394039791,456932.4981181125,2025-07-29,-103972.5587141334
2025-07-30T00:00:00Z,-28003.31187032853,466117.6787044917,494120.99057482026,2025-07-30,-28003.311870328558
2025-07-31T00:00:00Z,-245860.6835632611,349065.66076476336,594926.3443280244,2025-07-31,-245860.68356326106
2025-08-01T00:00:00Z,21442.294055913553,411454.0619565896,390011.767900676,2025-08-01,21442.294055913575
2025-08-02T00:00:00Z,-19616.977486420183,208174.87724442707,227791.85473084726,2025-08-02,-19616.97748642019
2025-08-03T00:00:00Z,44365.915223412034,218731.74188199284,174365.8266585808,2025-08-03,44365.91522341204
2025-08-04T00:00:00Z,99683.70375345583,443503.58590924705,343819.8821557912,2025-08-04,99683.70375345583
2025-08-05T00:00:00Z,-45954.84783635644,453433.30594557564,499388.1537819321,2025-08-05,-45954.847836356435
2025-08-06T00:00:00Z,-64817.98000709273,352426.7681689778,417244.7481760705,2025-08-06,-64817.9800070927
2025-08-07T00:00:00Z,-38383.86920256117,415273.3793121148,453657.24851467594,2025-08-07,-38383.86920256115
2025-08-08T00:00:00Z,197762.72102211908,778995.6860642717,581232.9650421527,2025-08-08,197762.72102211905
2025-08-09T00:00:00Z,57757.0702451519,429171.27025281417,371414.2000076623,2025-08-09,57757.070245151874
2025-08-10T00:00:00Z,-75290.27987763839,257452.6203004627,332742.9001781011,2025-08-10,-75290.27987763839
2025-08-11T00:00:00Z,-62983.76806800341,678395.6761651203,741379.4442331237,2025-08-11,-62983.76806800335
2025-08-12T00:00:00Z,-263879.2842071459,710223.0817321668,974102.3659393128,2025-08-12,-263879.28420714603
2025-08-13T00:00:00Z,7995.5412086284,876813.0037983077,868817.4625896793,2025-08-13,7995.541208628449
2025-08-14T00:00:00Z,-257487.48402916684,825090.3973490387,1082577.8813782055,2025-08-14,-257487.48402916675
2025-08-15T00:00:00Z,-96444.52658708731,749843.8147587739,846288.3413458612,2025-08-15,-96444.52658708731
2025-08-16T00:00:00Z,25389.01673302916,244287.84921922034,218898.83248619118,2025-08-16,25389.01673302916
2025-08-17T00:00:00Z,-21586.890678310152,208737.98761540253,230324.87829371268,2025-08-17,-21586.890678310156
2025-08-18T00:00:00Z,-18411.897541452603,662937.9713208723,681349.8688623249,2025-08-18,-18411.89754145255
2025-08-19T00:00:00Z,112550.37402132814,624044.4301690847,511494.0561477566,2025-08-19,112550.37402132811
2025-08-20T00:00:00Z,58235.51914135951,545395.8040555004,487160.28491414094,2025-08-20,58235.51914135949
2025-08-21T00:00:00Z,2894.2192548125,463073.443148394,460179.2238935815,2025-08-21,2894.2192548125167
2025-08-22T00:00:00Z,-168746.58200787802,630009.5156526337,798756.0976605117,2025-08-22,-168746.582007878
2025-08-23T00:00:00Z,138822.0328660014,441208.19420833205,302386.1613423307,2025-08-23,138822.03286600136
2025-08-24T00:00:00Z,-179389.46623392406,309787.4803134448,489176.94654736883,2025-08-24,-179389.46623392403
