datetime,exchange_balance,exchange_inflow,exchange_outflow,date,exchange_netflow
2025-09-19T00:00:00Z,-2684.923818139998,27000.277207390012,29685.20102553001,2025-09-19,-2684.923818139996
2025-09-20T00:00:00Z,-1955.191236060001,11254.761368169997,13209.952604229999,2025-09-20,-1955.1912360600018
2025-09-21T00:00:00Z,-1410.994474239997,12715.708782660002,14126.7032569,2025-09-21,-1410.9944742399985
2025-09-22T00:00:00Z,-921.104793349996,30166.453542730003,31087.55833608,2025-09-22,-921.1047933499976
2025-09-23T00:00:00Z,7269.675360919985,31473.80514641999,24204.129785500005,2025-09-23,7269.675360919984
2025-09-24T00:00:00Z,-1957.469507599998,23056.522252730007,25013.991760330005,2025-09-24,-1957.469507599999
2025-09-25T00:00:00Z,3285.829309350001,40311.53736365001,37025.70805430001,2025-09-25,3285.829309349996
2025-09-26T00:00:00Z,-12250.157262480005,68387.64059383,80637.79785631,2025-09-26,-12250.157262480003
2025-09-27T00:00:00Z,97.50033339,19942.468658440004,19844.968325050002,2025-09-27,97.5003333900022
2025-09-28T00:00:00Z,11038.774371230002,28115.82422650999,17077.04985527999,2025-09-28,11038.77437123
2025-09-29T00:00:00Z,575.049316509993,33937.41180208,33362.36248557001,2025-09-29,575.0493165099906
2025-09-30T00:00:00Z,-9244.68063446001,44400.50703478,53645.18766924001,2025-09-30,-9244.680634460012
2025-10-01T00:00:00Z,-1276.201542279969,40704.58234877002,41980.783891049985,2025-10-01,-1276.2015422799668
2025-10-02T00:00:00Z,-2316.464684290006,45148.99582775,47465.46051204,2025-10-02,-2316.464684290004
2025-10-03T00:00:00Z,-1656.754266109997,51345.52592915,53002.28019526,2025-10-03,-1656.7542661100015
2025-10-04T00:00:00Z,4509.557780729991,26586.81147241998,22077.25369168999,2025-10-04,4509.557780729989
2025-10-05T00:00:00Z,2520.259452659999,33685.749309590006,31165.489856930006,2025-10-05,2520.2594526600005
2025-10-06T00:00:00Z,-4135.025379959996,37802.84774000999,41937.87311996998,2025-10-06,-4135.025379959996
2025-10-07T00:00:00Z,-1157.36311111,41316.65891871,42474.02202982001,2025-10-07,-1157.363111110004
2025-10-08T00:00:00Z,2482.686515520019,38584.52486376001,36101.83834823999,2025-10-08,2482.686515520021
2025-10-09T00:00:00Z,-2836.628435330004,27265.03793230999,30101.666367639995,2025-10-09,-2836.6284353300034
2025-10-10T00:00:00Z,3123.884953629992,44530.50559788999,41406.620644259994,2025-10-10,3123.8849536299967
2025-10-11T00:00:00Z,1905.220974439993,65277.74467880999,63372.523704369996,2025-10-11,1905.2209744399952
2025-10-12T00:00:00Z,590.965668909983,43493.473345609986,42902.5076767,2025-10-12,590.9656689099866
2025-10-13T00:00:00Z,-5435.399070379978,53013.95594266002,58449.355013039996,2025-10-13,-5435.399070379979
2025-10-14T00:00:00Z,-20573.929723079997,59923.711531789995,80497.64125487,2025-10-14,-20573.929723080008
2025-10-15T00:00:00Z,2547.317622370001,49111.52674447,46564.2091221,2025-10-15,2547.3176223699993
2025-10-16T00:00:00Z,5151.545896860006,42804.56289780001,37653.01700094,2025-10-16,5151.545896860007
2025-10-17T00:00:00Z,4190.393608399999,46864.69515437,42674.30154597,2025-10-17,4190.3936084000015
2025-10-18T00:00:00Z,-478.189188039995,19939.027064500006,20417.216252539998,2025-10-18,-478.1891880399926
2025-10-19T00:00:00Z,-1937.16434017,15068.252970410003,17005.417310580004,2025-10-19,-1937.1643401700003
2025-10-20T00:00:00Z,-975.854002650002,25832.136698089995,26807.990700739996,2025-10-20,-975.8540026500013
2025-10-21T00:00:00Z,6013.478908800008,41960.281881760005,35946.802972959995,2025-10-21,6013.478908800011
2025-10-22T00:00:00Z,831.112660179995,29705.112779879993,28874.0001197,2025-10-22,831.1126601799951
