event_peak_ts,event_peak_cpi,entry_signal_ts,exit_signal_ts,exit_reason,symbol,entry_bar_ts,exit_bar_ts,entry_px,exit_px,gross_pnl_pct,costs_pct,pnl_pct,hold_hours,btc_ret
2025-11-05 04:27:00,0.927892804145813,2025-11-05 04:44:00,2025-11-05 05:52:00,vdv30_zero,SOL,2025-11-05 04:00:00,2025-11-05 05:00:00,156.97,157.45,0.0030579091546154664,0.0013,0.0017579091546154665,1.0,-0.0018037882495800354
2025-11-06 20:41:00,0.8727218508720398,2025-11-06 20:44:00,2025-11-06 21:44:00,vdv30_zero,ETH,2025-11-06 20:00:00,2025-11-06 21:00:00,3305.6,3324.6,0.005747821878025169,0.0013,0.004447821878025169,1.0,0.001962848628682572
2025-11-06 20:41:00,0.8727218508720398,2025-11-06 20:44:00,2025-11-06 21:44:00,vdv30_zero,SOL,2025-11-06 20:00:00,2025-11-06 21:00:00,155.22,156.39,0.007537688442210975,0.0013,0.006237688442210975,1.0,0.001962848628682572
2025-11-07 00:20:00,0.9541863203048706,2025-11-07 00:21:00,2025-11-07 01:24:00,vdv30_zero,ETH,2025-11-07 00:00:00,2025-11-07 01:00:00,3323.84,3323.55,-8.724848368151403e-05,0.0013,-0.0013872484836815139,1.0,0.0006585530564058867
2025-11-07 00:20:00,0.9541863203048706,2025-11-07 00:21:00,2025-11-07 01:24:00,vdv30_zero,SOL,2025-11-07 00:00:00,2025-11-07 01:00:00,156.68,156.96,0.0017870819504723075,0.0013,0.0004870819504723075,1.0,0.0006585530564058867
2025-11-07 02:03:00,0.949954628944397,2025-11-07 02:07:00,2025-11-07 03:07:00,vdv30_zero,ETH,2025-11-07 02:00:00,2025-11-07 03:00:00,3345.68,3343.67,-0.0006007747303985329,0.0013,-0.001900774730398533,1.0,-2.9451090574169665e-06
2025-11-07 02:03:00,0.949954628944397,2025-11-07 02:07:00,2025-11-07 03:07:00,vdv30_zero,SOL,2025-11-07 02:00:00,2025-11-07 03:00:00,157.95,156.79,-0.0073440962329851004,0.0013,-0.0086440962329851,1.0,-2.9451090574169665e-06
2025-11-07 05:11:00,0.9393671154975891,2025-11-07 05:15:00,2025-11-07 06:15:00,vdv30_zero,ETH,2025-11-07 05:00:00,2025-11-07 06:00:00,3365.4,3346.31,-0.005672431211743075,0.0013,-0.006972431211743075,1.0,-0.006067382812500029
2025-11-07 05:11:00,0.9393671154975891,2025-11-07 05:15:00,2025-11-07 06:15:00,vdv30_zero,SOL,2025-11-07 05:00:00,2025-11-07 06:00:00,157.99,156.72,-0.008038483448319578,0.0013,-0.009338483448319577,1.0,-0.006067382812500029
2025-11-07 11:22:00,0.9491974711418152,2025-11-07 11:28:00,2025-11-07 12:42:00,vdv30_zero,ETH,2025-11-07 11:00:00,2025-11-07 12:00:00,3258.62,3221.66,-0.011342224622693053,0.0013,-0.012642224622693054,1.0,-0.007574044202847406
