IC,t_stat,N,label,signal,horizon,IC_mean_daily,t_stat_naive,t_stat_clustered,N_days
-0.0178,,26400,,taker_ls_divergence_OOS,7,0.0077,-2.89,1.11,1005.0
-0.0377,,26211,,taker_ls_divergence_OOS,14,0.0071,-6.1,1.08,998.0
0.0059,,30827,,abs_taker_ls_divergence,1,-0.0036,1.03,-0.6,1192.0
0.0171,,30773,,abs_taker_ls_divergence,3,-0.0065,3.0,-1.05,1190.0
0.0129,,30665,,abs_taker_ls_divergence,7,-0.0146,2.27,-2.4,1186.0
0.013,,30476,,abs_taker_ls_divergence,14,-0.0026,2.27,-0.44,1179.0
0.015,,4265,,abs_taker_ls_divergence_IS,1,-0.0091,0.98,-0.53,181.0
0.0219,,4265,,abs_taker_ls_divergence_IS,3,-0.0025,1.43,-0.15,181.0
0.0294,,4265,,abs_taker_ls_divergence_IS,7,-0.0058,1.92,-0.37,181.0
0.021,,4265,,abs_taker_ls_divergence_IS,14,-0.0042,1.37,-0.26,181.0
0.0044,,26562,,abs_taker_ls_divergence_OOS,1,-0.0026,0.71,-0.41,1011.0
0.0162,,26508,,abs_taker_ls_divergence_OOS,3,-0.0072,2.65,-1.08,1009.0
0.0103,,26400,,abs_taker_ls_divergence_OOS,7,-0.0161,1.68,-2.45,1005.0
0.0118,,26211,,abs_taker_ls_divergence_OOS,14,-0.0023,1.91,-0.36,998.0
-0.0127,,45164,,sign_divergence,1,0.0157,-2.7,2.94,1675.0
-0.0227,,45110,,sign_divergence,3,0.0163,-4.82,3.02,1673.0
-0.0213,,45002,,sign_divergence,7,0.0191,-4.52,3.49,1669.0
-0.0308,,44813,,sign_divergence,14,0.021,-6.51,3.88,1662.0
-0.0288,,18524,,sign_divergence_IS,1,0.0241,-3.92,2.69,665.0
-0.0258,,18524,,sign_divergence_IS,3,0.0212,-3.52,2.27,665.0
-0.0342,,18524,,sign_divergence_IS,7,0.0314,-4.66,3.37,665.0
-0.0211,,18524,,sign_divergence_IS,14,0.0447,-2.87,4.81,665.0
-0.006,,26640,,sign_divergence_OOS,1,0.0102,-0.98,1.54,1010.0
-0.0228,,26586,,sign_divergence_OOS,3,0.0132,-3.72,2.01,1008.0
-0.0172,,26478,,sign_divergence_OOS,7,0.0109,-2.8,1.63,1004.0
-0.0386,,26289,,sign_divergence_OOS,14,0.0052,-6.27,0.8,997.0
