scope,signal,description,horizon,full_ic,full_tstat,full_pval,full_n,hit_rate,is_ic,is_tstat,is_n,oos_ic,oos_tstat,oos_n,sign_consistent
ETH,ls_divergence_count,Top trader - general L/S (count-based),3d,-0.009136683735477592,-0.32278549663661854,0.7469117669820191,1250,0.5104,0.04311824693022339,1.2283091782323705,812,-0.06908353070386679,-1.4459610465152657,438,False
ETH,ls_divergence_count,Top trader - general L/S (count-based),7d,-0.05544692203949365,-1.9586473540803824,0.05037726154486945,1246,0.5,0.012551051995489552,0.3572373407443349,812,-0.1579034441655727,-3.323658220266893,434,False
ETH,ls_divergence_count,Top trader - general L/S (count-based),14d,-0.06999989400707149,-2.4680210860859537,0.013720723049958403,1239,0.4971751412429379,0.027702005106157734,0.7887155756783283,812,-0.16591382213920877,-3.468473219590732,427,False
ETH,ls_divergence_ratio,Top trader / general L/S ratio,1d,0.0011301322058096188,0.039956232834279154,0.9681344000813553,1252,0.5031948881789138,0.03158128098990076,0.8992675805995032,812,-0.008916227497418515,-0.18661023505668695,440,False
ETH,ls_divergence_ratio,Top trader / general L/S ratio,3d,0.005181094131900246,0.18303519428615903,0.8548001338117387,1250,0.5128,0.06449465380259968,1.8393795177542567,812,-0.023324937721977138,-0.48717153976758004,438,False
ETH,ls_divergence_ratio,Top trader / general L/S ratio,7d,-0.016340500149167693,-0.5764126775795123,0.5644405508438904,1246,0.5008025682182986,0.041949394183098926,1.194952561591524,812,0.00033286003840918586,0.006918366363267992,434,True
ETH,ls_divergence_ratio,Top trader / general L/S ratio,14d,-0.009925581607804207,-0.3491099349113118,0.7270661944036276,1239,0.48184019370460046,0.0610311747186401,1.7402216997523627,812,0.07753491995330339,1.6032496868210047,427,True
ETH,ls_divergence_zscore,L/S divergence z-score (20d),1d,0.04401367227870981,1.5191462959846629,0.12899152488554694,1191,0.5138539042821159,0.05340578519420914,1.46369112984044,751,0.027423742327744933,0.5741523469930911,440,True
ETH,ls_divergence_zscore,L/S divergence z-score (20d),3d,0.06747567696956704,2.330040831616451,0.019970950847402694,1189,0.5088309503784693,0.0977287021559906,2.687490632669902,751,0.016653243637652047,0.34777816398330896,438,True
ETH,ls_divergence_zscore,L/S divergence z-score (20d),7d,-0.012857741618921632,-0.44227558803972084,0.6583706378579407,1185,0.49535864978902955,0.04546938833328612,1.2456884277929048,751,-0.09952045401081666,-2.078814030679336,434,False
ETH,ls_divergence_zscore,L/S divergence z-score (20d),14d,-0.026435134995768318,-0.9068532056022105,0.3646702036639294,1178,0.5,0.06437357282488597,1.7654289380218968,751,-0.17023036025252172,-3.561369478626874,427,False
ETH,oi_price_div_5d,OI-price divergence (5d),1d,-0.03796717345401408,-1.5006651965417694,0.13364453664687773,1562,0.49295774647887325,-0.027212397497567674,-0.9110383895689427,1122,-0.06376934704302098,-1.3373154479806029,440,True
ETH,oi_price_div_5d,OI-price divergence (5d),3d,-0.021542589011962557,-0.8505158678043285,0.3951690298212432,1560,0.492948717948718,-0.01927629833596519,-0.6452282177834472,1122,-0.03623917931179312,-0.757193645563908,438,True
ETH,oi_price_div_5d,OI-price divergence (5d),7d,-0.01175132211754581,-0.46327858653571324,0.6432295660395572,1556,0.5006426735218509,-0.01117303629848481,-0.3739446555824677,1122,-0.022459868712954637,-0.46693739204231266,434,True
ETH,oi_price_div_5d,OI-price divergence (5d),14d,0.027800058471686998,1.0938524701772532,0.2741899772188945,1549,0.5293737895416397,0.025783246663185464,0.8631594249435952,1122,0.018827997863078576,0.3882179360091119,427,True
ETH,oi_price_div_10d,OI-price divergence (10d),1d,-0.02696448277937747,-1.0636903824535064,0.287634131945479,1557,0.4932562620423892,-0.021196737446189242,-0.7079523711588297,1117,-0.0385053172231825,-0.8064546589685513,440,True
ETH,oi_price_div_10d,OI-price divergence (10d),3d,-0.02267891925849092,-0.8939635212791944,0.3714799247440451,1555,0.490032154340836,-0.016248225681515065,-0.5426261406845896,1117,-0.04125883758115851,-0.8622440291068205,438,True
ETH,oi_price_div_10d,OI-price divergence (10d),7d,0.012688047682422508,0.49940797302307005,0.6175629264287413,1551,0.5099935525467441,0.010256825276493351,0.3425099850006302,1117,0.015891039165552543,0.3303307576789827,434,True
ETH,oi_price_div_10d,OI-price divergence (10d),14d,0.01558999347217223,0.6122670723996251,0.5404513423446371,1544,0.5239637305699482,0.003545433910299074,0.11838851075262888,1117,0.02636687290897214,0.5437560558308071,427,True
ETH,oi_price_div_20d,OI-price divergence (20d),1d,-0.011381689820200217,-0.4474032343838556,0.6546466579618913,1547,0.49903038138332256,-0.016254297814323807,-0.5403892862061571,1107,-0.0043659128592418535,-0.0913726577953414,440,True
ETH,oi_price_div_20d,OI-price divergence (20d),3d,-0.015818528748345342,-0.6214459954597017,0.5343980145125204,1545,0.49385113268608416,-0.03681756012499445,-1.22470275162156,1107,0.02895496952809371,0.604851117467441,438,False
ETH,oi_price_div_20d,OI-price divergence (20d),7d,0.0007609842567182412,0.02985348989796216,0.9761877697294609,1541,0.5158987670343933,-0.04380898810587522,-1.4576777219664154,1107,0.09715072541101975,2.028836956241707,434,False
ETH,oi_price_div_20d,OI-price divergence (20d),14d,0.06546834094913162,2.5679906255702596,0.01032307957599963,1534,0.529986962190352,0.03665618559293681,1.2193275356995186,1107,0.10808515872313705,2.2413633454150808,427,True
ETH,taker_ratio_zscore,Taker buy/sell z-score (20d),1d,-0.03002473251990727,-1.1231262452968462,0.26157671625372075,1400,0.49214285714285716,-0.054548453286082106,-1.6908780539301933,960,0.017474357728181355,0.36576706222717015,440,False
ETH,taker_ratio_zscore,Taker buy/sell z-score (20d),3d,0.0030386829936294014,0.11353509023979164,0.9096226697705915,1398,0.4957081545064378,-0.018419250129394667,-0.5702015373109751,960,0.04034227760014092,0.8430578042038388,438,False
ETH,taker_ratio_zscore,Taker buy/sell z-score (20d),7d,-0.025607028945236157,-0.9556992484868246,0.3393901417403571,1394,0.4734576757532281,-0.05105498703883141,-1.5822958256055495,960,0.012685160277429849,0.2636773206780715,434,False
ETH,taker_ratio_zscore,Taker buy/sell z-score (20d),14d,-0.034880852383434004,-1.2989018464440147,0.19419381626544985,1387,0.4794520547945205,-0.03919638584677283,-1.2141229008485779,960,-0.03894995528556663,-0.8035836881540653,427,True
ETH,taker_ratio_raw,Taker buy/sell ratio (raw),1d,-0.029218419722396465,-1.108078603061939,0.26801329907826593,1439,0.4996525364836692,-0.044438474546690976,-1.4045459864969312,999,-0.00323992094249172,-0.06780687783531822,440,True
