signal,description,horizon,period,IC,t_stat,p_value,n_obs
liq_net_direction,LS proxy 30d deviation (liq direction proxy),14d,OOS,-0.017118443529489505,-0.44150816498127093,0.6589886725815451,667
liq_cluster,Extreme funding cluster flag (|z30|>2),1d,IS,0.03888227221994421,1.5491547683612428,0.12154415409453798,1587
liq_cluster,Extreme funding cluster flag (|z30|>2),1d,OOS,0.07501803568617,1.9588718599412107,0.0505372994919527,680
liq_cluster,Extreme funding cluster flag (|z30|>2),3d,IS,0.04694032529282401,1.8708532255130594,0.06154956146707788,1587
liq_cluster,Extreme funding cluster flag (|z30|>2),3d,OOS,0.008543727938827494,0.22214503432775598,0.8242680762801804,678
liq_cluster,Extreme funding cluster flag (|z30|>2),7d,IS,0.03845987427660777,1.5323004432524157,0.12564787193905583,1587
liq_cluster,Extreme funding cluster flag (|z30|>2),7d,OOS,0.04448464723728381,1.1543165499983534,0.2487807474628967,674
liq_cluster,Extreme funding cluster flag (|z30|>2),14d,IS,0.02404960597893764,0.9577413305038139,0.33833927071663866,1587
liq_cluster,Extreme funding cluster flag (|z30|>2),14d,OOS,0.01681812131857721,0.43376023170784467,0.6646032413083552,667
fr_zscore_7d,Funding rate z-score (7d),1d,IS,-0.04131393980853761,-1.644119953254955,0.10035024131973057,1583
fr_zscore_7d,Funding rate z-score (7d),1d,OOS,-0.04355413449270894,-1.1351586064532668,0.25671000441975184,680
fr_zscore_7d,Funding rate z-score (7d),3d,IS,-0.0460866569379617,-1.8344371968916102,0.06677694836037738,1583
fr_zscore_7d,Funding rate z-score (7d),3d,OOS,-0.0630652185300686,-1.6429661572721843,0.1008549541787561,678
fr_zscore_7d,Funding rate z-score (7d),7d,IS,-0.06325312371409493,-2.520103933806024,0.011829815436392879,1583
fr_zscore_7d,Funding rate z-score (7d),7d,OOS,-0.061825614133584554,-1.6057749956433134,0.10879314015507145,674
fr_zscore_7d,Funding rate z-score (7d),14d,IS,0.01706178402128607,0.6785058505262839,0.4975503147825319,1583
fr_zscore_7d,Funding rate z-score (7d),14d,OOS,-0.06462483275274485,-1.6700098813769686,0.09538799510253716,667
fr_zscore_14d,Funding rate z-score (14d),1d,IS,-0.03797126870763927,-1.5099392890423042,0.13125898965888808,1581
fr_zscore_14d,Funding rate z-score (14d),1d,OOS,-0.04103110378156131,-1.0692861304547139,0.28532129369788745,680
fr_zscore_14d,Funding rate z-score (14d),3d,IS,-0.029698830133239703,-1.180652307359582,0.2379186902673719,1581
fr_zscore_14d,Funding rate z-score (14d),3d,OOS,-0.06371570588992953,-1.659981285575163,0.0973819843838801,678
fr_zscore_14d,Funding rate z-score (14d),7d,IS,-0.022405243657425727,-0.8905324933400167,0.37331569413452237,1581
fr_zscore_14d,Funding rate z-score (14d),7d,OOS,-0.08757364961229985,-2.278923977939575,0.02298440827695936,674
fr_zscore_14d,Funding rate z-score (14d),14d,IS,0.036874328212544126,1.4662588332388737,0.1427768991758813,1581
fr_zscore_14d,Funding rate z-score (14d),14d,OOS,-0.0605213461860402,-1.5635660666668478,0.11839523620821375,667
fr_zscore_30d,Funding rate z-score (30d),1d,IS,-0.02183901394424875,-0.8658142105406651,0.386724255407066,1573
fr_zscore_30d,Funding rate z-score (30d),1d,OOS,-0.05077761337515614,-1.3238773121972898,0.18598996379439123,680
fr_zscore_30d,Funding rate z-score (30d),3d,IS,-0.0008223405997637973,-0.03259417340356242,0.974002356688935,1573
fr_zscore_30d,Funding rate z-score (30d),3d,OOS,-0.06671833238523224,-1.7385503935359978,0.08256916797466983,678
fr_zscore_30d,Funding rate z-score (30d),7d,IS,0.013076686355259479,0.5183497997680584,0.6042872280403265,1573
fr_zscore_30d,Funding rate z-score (30d),7d,OOS,-0.04626569841696759,-1.2006296498499753,0.23031793729820488,674
fr_zscore_30d,Funding rate z-score (30d),14d,IS,0.08136296699075221,3.2356173013337868,0.0012390614223143721,1573
fr_zscore_30d,Funding rate z-score (30d),14d,OOS,-0.017118443529489505,-0.44150816498127093,0.6589886725815451,667
fr_zscore_60d,Funding rate z-score (60d),1d,IS,-0.01102237653759406,-0.434816907286689,0.6637556274086961,1558
fr_zscore_60d,Funding rate z-score (60d),1d,OOS,-0.05325984701524009,-1.3887740700782338,0.16535748777943324,680
fr_zscore_60d,Funding rate z-score (60d),3d,IS,0.0036809375566330643,0.1451998570116818,0.8845718842947394,1558
fr_zscore_60d,Funding rate z-score (60d),3d,OOS,-0.09799467616958583,-2.5601839018463792,0.010677902737685542,678
fr_zscore_60d,Funding rate z-score (60d),7d,IS,0.004100370887402431,0.16174526977785303,0.871527452886072,1558
fr_zscore_60d,Funding rate z-score (60d),7d,OOS,-0.08522609884632099,-2.2173806246269954,0.026930899463884682,674
fr_zscore_60d,Funding rate z-score (60d),14d,IS,0.027659465005743424,1.091477438957606,0.2752318302269553,1558
fr_zscore_60d,Funding rate z-score (60d),14d,OOS,-0.06980241065743226,-1.80443753774637,0.07161505119152704,667
ls_proxy_7d,LS ratio proxy (7d),1d,IS,-0.041318447895767864,-1.6442996628333404,0.10031312785666956,1583
ls_proxy_7d,LS ratio proxy (7d),1d,OOS,-0.04355413449270894,-1.1351586064532668,0.25671000441975184,680
ls_proxy_7d,LS ratio proxy (7d),3d,IS,-0.04608541577062052,-1.8343876882104209,0.06678429607264867,1583
ls_proxy_7d,LS ratio proxy (7d),3d,OOS,-0.0630652185300686,-1.6429661572721843,0.1008549541787561,678
ls_proxy_7d,LS ratio proxy (7d),7d,IS,-0.0632536162120958,-2.5201236345236406,0.01182915603618628,1583
ls_proxy_7d,LS ratio proxy (7d),7d,OOS,-0.061825614133584554,-1.6057749956433134,0.10879314015507145,674
ls_proxy_7d,LS ratio proxy (7d),14d,IS,0.017062248629052597,0.6785243322328496,0.49753860378342063,1583
ls_proxy_7d,LS ratio proxy (7d),14d,OOS,-0.06462483275274485,-1.6700098813769686,0.09538799510253716,667
ls_proxy_30d,LS ratio proxy (30d),1d,IS,-0.02183951668365743,-0.8658341513051434,0.3867133218058547,1573
ls_proxy_30d,LS ratio proxy (30d),1d,OOS,-0.05077761337515614,-1.3238773121972898,0.18598996379439123,680
ls_proxy_30d,LS ratio proxy (30d),3d,IS,-0.0008230466491998703,-0.03262215829612396,0.973980043401687,1573
ls_proxy_30d,LS ratio proxy (30d),3d,OOS,-0.06671833238523224,-1.7385503935359978,0.08256916797466983,678
