indicator,pearson_r,pearson_p,transfer_entropy,mutual_info,ccm_convergence,ccm_final_corr,composite_score,direction
sma_20,-0.34070305553131536,7.951091211970686e-07,0.2850528062963658,0.09495117428277677,-0.025857223167419414,0,0.518688967853471,-1.0
entropy_50,0.21280610495946103,0.0024830481994234533,0.28388444928417467,0.0936445722752584,-0.022763970302283925,0,0.517055715344073,1.0
price_to_sma_200,-0.17794989331201877,0.011703158005649984,0.35293564706926966,0.09210770020922819,-0.017305380373188052,0,0.5151346252615353,-1.0
macd_hist_5_13,0.06399271322200989,0.3679903058774655,0.2954680766367164,0.06244419111350287,0.022581966210736805,0,0.5143721735678406,1.0
ema_10,-0.34319382107487517,6.524643317894128e-07,0.22163079079132647,0.08990033306409652,-0.025854190106005374,0,0.5123754163301206,-1.0
realized_vol_60,-0.30678021063138444,9.946084310168934e-06,0.3584230059177355,0.08977245514304007,-0.027486793894936856,0,0.5122155689288002,-1.0
ichimoku_cloud_dist,0.12698796127731024,0.07315129747213839,0.29878372330694286,0.08930909121933818,-0.004934354118414093,0,0.5116363640241728,1.0
macd_signal_12_26,-0.121752511771702,0.08589824804077248,0.31284946212234643,0.0883405540285109,-0.029020361824310174,0,0.5104256925356386,-1.0
sma_10,-0.34044156024426475,8.117058512542889e-07,0.25047222847710154,0.08778592667761673,-0.027053338073502377,0,0.5097324083470209,-1.0
atr_20,-0.3050346164406724,1.1234969300780112e-05,0.32143000723047394,0.08754347958967965,-0.0052306135497352975,0,0.5094293494870996,-1.0
plus_di,-0.11551339542385738,0.10335035710623176,0.30828457373210266,0.06264152352299714,0.007304478459110175,0,0.5075198182401871,-1.0
mfi_14,-0.24819413835588863,0.0003946980803052277,0.3195734390414723,0.08519712055864198,-0.05736256001752363,0,0.5064964006983025,-1.0
volume_sma_50,-0.13781291743650903,0.0516489293009124,0.3727200306501969,0.0801821887933905,-0.021736000171918627,0,0.5002277359917382,-1.0
entropy_20,0.1219408084699995,0.08541078104217575,0.3457340036996669,0.07753494878974301,-0.03148315392536128,0,0.4969186859871788,1.0
rsi_21,-0.09737437087783991,0.17015314129854434,0.37831031456703434,0.07916062871833017,-0.014750095075333081,0,0.4950123422146726,-1.0
ema_20,-0.35421884517126356,2.6633293659792324e-07,0.28634785863778073,0.07582402380878639,-0.021596831014499725,0,0.494780029760983,-1.0
di_diff,-0.1327261554028772,0.0609906097960144,0.3129671681490731,0.07519220569019751,-0.01131099361489487,0,0.4939902571127469,-1.0
autocorr_20,-0.11829206202862658,0.09526034264943936,0.2847729863534408,0.07498099578588886,-0.026945666451974472,0,0.4937262447323611,-1.0
atr_14,-0.276981194119246,7.171695516026474e-05,0.29267633534640297,0.07410617931591368,-0.0076547129680071295,0,0.4926327241448921,-1.0
realized_vol_30,-0.27114159776471825,0.00010296899949492203,0.40526530607252925,0.07352861556440131,-0.009668167318634102,0,0.49191076945550166,-1.0
obv,-0.45020042769509444,2.2547655669375114e-11,0.300301486824984,0.07150934466912826,-0.011184702418481338,0,0.48938668083641035,-1.0
zscore_50,-0.09850681393760659,0.16521555210930935,0.3165064913555547,0.07328146227214648,-0.011395655473286054,0,0.48936204874659295,-1.0
ad_line,-0.31797667228094134,4.468011675815401e-06,0.2770599021876694,0.07128790127398892,-0.0037863854249826864,0,0.48910987659248617,-1.0
realized_vol_10,-0.21829826157591195,0.001900266152577707,0.32265326270057665,0.07062761744588966,-0.019976853629160966,0,0.4882845218073621,-1.0
cci_20,-0.2647327358331383,0.00015172372412969862,0.29006394070577635,0.06817015430973607,-0.023986543175565003,0,0.4852126928871701,-1.0
hurst_100,-0.23531674430754182,0.0007958060492721965,0.37988908607232796,0.06656183519061916,8.24435455335777e-05,0,0.4835320681704083,-1.0
stoch_d_14,-0.15277926982582538,0.030789892321272747,0.3219748633661834,0.06619858439004164,-0.018022318509271665,0,0.4827482304875521,-1.0
minus_di,0.14037465051949843,0.047414185091251025,0.35688050467603494,0.0658574597991099,-0.02922213023338014,0,0.4823218247488874,1.0
kurtosis_30,-0.3011987814703544,1.4644573991807707e-05,0.2784143853506692,0.06519231346829668,-0.03240404661884067,0,0.4814903918353709,-1.0
price_to_sma_50,-0.06279825670215675,0.3770163476002604,0.33884507151607696,0.10973173572657871,-0.010522293687819132,0,0.4813620547114585,-1.0
rsi_14,-0.08776808401501311,0.21652012178928795,0.3658068257177347,0.07915558794121641,-0.011453052888269005,0,0.48059661094904016,-1.0
autocorr_10,-0.2748164975216728,8.208527298874452e-05,0.2911018527300538,0.06303131140765272,-0.004880458723517202,0,0.4787891392595659,-1.0
macd_signal_5_13,-0.03336932915662546,0.6390079684625272,0.30642899358117276,0.14270825217235897,-0.029986640071381136,0,0.4784393089503869,-1.0
kurtosis_20,-0.32842898054346586,2.054957139623039e-06,0.2357208913599436,0.0619154881695083,-0.021454487559574433,0,0.4773943602118854,-1.0
adx_14,-0.2568907745432457,0.00024063187977427418,0.28513253187903065,0.06096625201953626,-0.03058817135697848,0,0.47620781502442033,-1.0
