indicator,pearson_r,pearson_p,transfer_entropy,mutual_info,ccm_convergence,ccm_final_corr,composite_score,direction
stoch_k_14,-0.23569815619309953,0.0007798638014855548,0.308615016963068,0.06419932692837421,0.007319422192347545,0,0.509526847429858,-1.0
plus_di,-0.32560394505166057,2.542223166369953e-06,0.3101077028518816,0.08533731151410745,-0.017215065275131575,0,0.5066716393926344,-1.0
rsi_14,-0.30725528482126296,9.620356222434606e-06,0.32853928351149286,0.06288174453815226,0.0051641573147548124,0,0.49925880993170957,-1.0
adx_14,-0.2044154935520302,0.003690482194685753,0.32145518568852216,0.053307036767788786,0.008146255968677919,0,0.49921881983444766,-1.0
kurtosis_10,-0.09964959711559648,0.16034217515473623,0.29881924260098064,0.030564987871667285,0.01534958574088835,0,0.49907897347653224,-1.0
price_to_sma_200,-0.1939411204775987,0.0059282102108557735,0.2982307893814338,0.0785477390667674,-0.046263216803260315,0,0.49818467383345927,-1.0
tsi,-0.1395613789395583,0.04872601999795893,0.3128967015162043,0.07747606116717572,-0.03304138111656398,0,0.4968450764589697,-1.0
atr_pct_30,0.1170433769411523,0.0988313008297226,0.32589555712969315,0.0431514311585934,0.010175412028970035,0,0.49464093706412193,1.0
vwap_dev,-0.2783442344232059,6.583320181381854e-05,0.2945020835807211,0.07552200900637532,-0.012777824922983887,0,0.4944025112579692,-1.0
obv_slope_10,-0.04638307363088276,0.5142751936386496,0.2902016730150932,0.047068555224972886,0.028673160173920558,0,0.49310294517322245,-1.0
cci_14,-0.22704263644018732,0.001224680500990379,0.2955862387883095,0.060980013448492174,0.0029672896745488973,0,0.48809417550881085,-1.0
macd_hist_12_26,-0.24977456031508613,0.00036121731156178337,0.25208769955610677,0.04165355416007198,0.008755642366061063,0,0.48708951216433427,-1.0
volume_sma_50,-0.17168182257458087,0.015065322324144183,0.3017044731587451,0.056855966036852425,0.003864283184323967,0,0.48652709028336144,-1.0
bb_width_20,-0.14701336237045576,0.03776909661394616,0.3831663560807559,0.06856407482395739,-0.03278379744235314,0,0.48570509352994673,-1.0
price_to_sma_50,-0.17934570970763905,0.011051362132353772,0.3143195663253034,0.06624217256314648,-0.03190225555801676,0,0.4828027157039331,-1.0
