indicator,pearson_r,pearson_p,transfer_entropy,mutual_info,ccm_convergence,ccm_final_corr,composite_score,direction
atr_30,-0.1297856216501081,0.06699671041578868,0.30873232686798346,0.07259875834340358,0.005304678197429464,0,0.5119671607189723,-1.0
sma_10,-0.3419281905057464,7.215774850673814e-07,0.33887524042280376,0.08875588298413098,-0.005046209968694681,0,0.5109448537301637,-1.0
macd_signal_12_26,-0.31448368351494166,5.755084270085047e-06,0.2752653271958502,0.08657731745562368,-0.008473021598490145,0,0.5082216468195296,-1.0
sma_20,-0.20240126497011324,0.00404983636579078,0.2502234462524864,0.07464611803737166,0.0034185606531997497,0,0.5069818901595136,-1.0
ultimate_osc,-0.308847793247022,8.600682102936875e-06,0.3099226323961648,0.08525560721814729,-0.049798454727751074,0,0.5065695090226842,-1.0
volume_ratio_10,0.106632739759488,0.13287761129284298,0.33637921246361613,0.045991698227766234,0.011812655592663715,0,0.5047402451553626,1.0
mfi_14,-0.30098835908979216,1.4857447161210161e-05,0.30575214086233526,0.0834727502787483,-0.010292794039579774,0,0.5043409378484354,-1.0
price_to_sma_20,-0.38324108345457125,2.1285838776290176e-08,0.2806959785135643,0.08201815001009748,-0.033112345288155556,0,0.5025226875126219,-1.0
cci_20,-0.3577983619844876,1.9763767613523276e-07,0.28176970404755136,0.07918989212116852,-0.0478126730186109,0,0.4989873651514607,-1.0
obv_slope_10,-0.26255505102963367,0.0001727033408346903,0.37641356081012295,0.07914339112757013,-0.013278653805336093,0,0.49892923890946267,-1.0
zscore_20,-0.35858100857997083,1.8506764149043022e-07,0.2548666384037369,0.07849464492671315,-0.04815575126450334,0,0.4981183061583915,-1.0
bb_pct_20,-0.3585810085797862,1.850676414933013e-07,0.2548666384037369,0.07849464492671315,-0.04815575126452108,0,0.4981183061583915,-1.0
autocorr_20,-0.08105339149249963,0.25388594416629984,0.25753609721040416,0.0684789771557382,0.010201547217349947,0,0.497984997552822,-1.0
adx_14,-0.1841326768214081,0.0090525610637935,0.2653397965545133,0.05661968966730443,0.006589329125038734,0,0.4971319285842855,-1.0
vwap_dev,-0.35596936660142015,2.3028536680362865e-07,0.2881396655199834,0.07765856550361903,-0.031191699912244297,0,0.49707320687952383,-1.0
rsi_21,-0.402991750928171,3.2939017992063894e-09,0.25433018085022013,0.07738334488055468,-0.03771891551031989,0,0.49672918110069336,-1.0
macd_hist_8_21,-0.25583774994559927,0.0002557273667225666,0.3651253267107284,0.07724110911971553,-0.03014525228705228,0,0.49655138639964447,-1.0
ema_20,-0.28005012293570136,5.910751778577939e-05,0.37434978228813487,0.07299074900876752,0.0009028693540793618,0,0.4948499136772769,-1.0
stoch_d_14,-0.2947333548355817,2.2700773763267258e-05,0.3058230442849129,0.07505623021943006,-0.05919793647315436,0,0.4938202877742876,-1.0
ema_10,-0.38562670861510545,1.7100817763571545e-08,0.33986175622845155,0.07470916467757403,-0.009283078790760155,0,0.49338645584696755,-1.0
ichimoku_cloud_dist,-0.40826427218564687,1.959953778593397e-09,0.2779192239237564,0.07386959166506363,-0.04157784270296631,0,0.49233698958132954,-1.0
roc_14,-0.3219675948202245,3.3327644308479613e-06,0.2654672625139048,0.07300933806732275,-0.014802004549973886,0,0.49126167258415343,-1.0
momentum_14,-0.3219675948202245,3.3327644308479613e-06,0.2654672625139048,0.07300933806732275,-0.01480200454997384,0,0.49126167258415343,-1.0
sma_50,-0.1084268029434088,0.12644195116624843,0.3267457240653783,0.05573038702088164,0.005073095860410056,0,0.4899553672177423,-1.0
macd_hist_12_26,-0.3103939888332477,7.70937100906202e-06,0.33401225630280945,0.06957509918168807,-0.034094515142177685,0,0.4869688739771101,-1.0
momentum_7,-0.30140773328616227,1.4436046817095367e-05,0.29181595267888866,0.06790067224594783,-0.027692573559140395,0,0.4848758403074348,-1.0
roc_7,-0.30140773328616227,1.4436046817095367e-05,0.29181595267888866,0.06790067224594783,-0.027692573559140402,0,0.4848758403074348,-1.0
ema_100,-0.20602977764299307,0.003423533178583187,0.25901372372700227,0.06339541050240505,0.000696268132836707,0,0.4820293356593532,-1.0
bb_width_20,-0.09375947915871445,0.18664845633258,0.27284330177723304,0.06853004459296766,0.0007456423223111995,0,0.479284343768526,-1.0
minus_di,0.32202440835911417,3.3187849418469463e-06,0.28000985731443395,0.06287133008869854,-0.016925846153889305,0,0.4785891626108732,1.0
macd_hist_5_13,-0.18288522806347218,0.009539900372214267,0.32969794059407465,0.06185038335444836,-0.018537406723002452,0,0.4773129791930605,-1.0
williams_r_14,-0.3061366286735049,1.0404049574225661e-05,0.2970067422223292,0.06029146883492038,-0.0529620815822411,0,0.47536433604365047,-1.0
