signal,return_horizon,IC_full,pval_full,t_stat,n_obs,IC_IS,IC_OOS,sign_flip,sample,abs_IC
uncertainty_intensity,fwd_ret_1d,0.036319425176338516,0.17394396206606014,1.3603312100017324,1403,0.04566327463480501,0.030346819442871754,False,Truth Social Only,0.036319425176338516
uncertainty_intensity,fwd_ret_2d,-0.017528561327687493,0.5121087842692748,-0.6557251762872123,1401,-0.017931753903833586,-0.02059952831655044,False,Truth Social Only,0.017528561327687493
uncertainty_intensity,fwd_ret_3d,0.016746157671484747,0.5312702979357847,0.626223939004479,1400,0.016689594948879546,0.020695277397439104,False,Truth Social Only,0.016746157671484747
uncertainty_intensity,fwd_ret_5d,0.024015739315731685,0.36957443415635577,0.8975609446382986,1398,0.02250871456761896,0.023892827268073704,False,Truth Social Only,0.024015739315731685
uncertainty_intensity,fwd_ret_7d,0.0053943870783095494,0.840407822406,0.20140943547650425,1396,-0.011232854934310562,0.01693369702749961,True,Truth Social Only,0.0053943870783095494
post_count_zscore,fwd_ret_1d,-0.020947546522261894,0.437836531032942,-0.776078271589351,1374,-0.0259029566955322,-0.01824742707925635,False,Truth Social Only,0.020947546522261894
post_count_zscore,fwd_ret_2d,-0.050233180313434767,0.06286550770053817,-1.8616566846050258,1372,-0.04835751120588584,-0.05338661397226251,False,Truth Social Only,0.050233180313434767
post_count_zscore,fwd_ret_3d,-0.034103799980535164,0.2069569626781857,-1.2625750439506,1371,-0.07152662110390696,0.0005000797445803977,True,Truth Social Only,0.034103799980535164
post_count_zscore,fwd_ret_5d,-0.04120377065954476,0.12756017245621032,-1.5247203392964515,1369,-0.0672960038200375,-0.017251666909112347,False,Truth Social Only,0.04120377065954476
post_count_zscore,fwd_ret_7d,-0.030036283161967135,0.267100364218241,-1.1102186270063616,1367,-0.04173380146221743,-0.02487526114636187,False,Truth Social Only,0.030036283161967135
engagement_zscore,fwd_ret_1d,-0.013499552960231403,0.6171017539006932,-0.5000760076908984,1374,-0.017311385080517935,-0.029500244550463777,False,Truth Social Only,0.013499552960231403
engagement_zscore,fwd_ret_2d,-0.025971150168792447,0.3364163329055,-0.961607810913124,1372,-0.04022544551490787,-0.041194266063246915,False,Truth Social Only,0.025971150168792447
engagement_zscore,fwd_ret_3d,-0.013441574515199223,0.6189987294190193,-0.4973831916763428,1371,-0.03337555901432022,-0.02997481194446687,False,Truth Social Only,0.013441574515199223
engagement_zscore,fwd_ret_5d,-0.038826276600650286,0.15105887106966961,-1.4366057272768729,1369,-0.035977378487690094,-0.06221082426282254,False,Truth Social Only,0.038826276600650286
engagement_zscore,fwd_ret_7d,-0.06979441539372028,0.009843074014494175,-2.584921537623188,1367,-0.060518272221578226,-0.1084806512405688,False,Truth Social Only,0.06979441539372028
crypto_post_count,fwd_ret_1d,0.000256316579431623,0.9939488110423977,0.007586278221237019,878,-0.0007238469619440512,0.023038844590977377,True,Truth Social Only,0.000256316579431623
crypto_post_count,fwd_ret_2d,-0.00036202921724452005,0.9914532007743506,-0.010715087030606842,878,0.005795242939422792,0.005945432205328485,False,Truth Social Only,0.00036202921724452005
crypto_post_count,fwd_ret_3d,0.004931182070073708,0.8839933041101172,0.145951435675528,878,0.00824764047041883,0.0036271617341512136,False,Truth Social Only,0.004931182070073708
crypto_post_count,fwd_ret_5d,0.041130646525867676,0.22340497436397408,1.2183869953869564,878,0.05257325395451913,-0.006131742853571621,True,Truth Social Only,0.041130646525867676
crypto_post_count,fwd_ret_7d,0.06115155635265867,0.07012545106385168,1.8133144178983542,878,0.08805844757736965,0.013400216497689982,False,Truth Social Only,0.06115155635265867
tariff_post_count,fwd_ret_1d,0.014530735816586144,0.5865679904687036,0.5439419180979761,1403,0.01411374540228577,0.007334561115975152,False,Truth Social Only,0.014530735816586144
tariff_post_count,fwd_ret_2d,0.023343956803049324,0.38260757131878836,0.8733768831849603,1401,0.04064694248315959,-0.01842374156212615,True,Truth Social Only,0.023343956803049324
tariff_post_count,fwd_ret_3d,0.021542661331169985,0.42057385941076086,0.8056635917861681,1400,0.03744845104873995,-0.021750764621648527,True,Truth Social Only,0.021542661331169985
tariff_post_count,fwd_ret_5d,0.02656568119003028,0.32091799353536704,0.9929261949005578,1398,0.028654902656971026,0.011640258893863657,False,Truth Social Only,0.02656568119003028
tariff_post_count,fwd_ret_7d,0.06356747392828897,0.01753222916873224,2.3781846509756366,1396,0.06724665289012187,0.04982658379399242,False,Truth Social Only,0.06356747392828897
fed_post_count,fwd_ret_1d,-0.0015327694263883905,0.954257425140614,-0.05737152669527348,1403,-0.032246845024483745,0.0059678039100259095,True,Truth Social Only,0.0015327694263883905
fed_post_count,fwd_ret_2d,-0.033172103247252296,0.21465640773680605,-1.241426305013543,1401,-0.05386793882313474,-0.03540818565718849,False,Truth Social Only,0.033172103247252296
fed_post_count,fwd_ret_3d,-0.03389024604306987,0.20505223510008685,-1.2678791355295183,1400,-0.05035682102677261,-0.033757010808194,False,Truth Social Only,0.03389024604306987
fed_post_count,fwd_ret_5d,-0.05363624954402714,0.044952336027680596,-2.00690452223786,1398,-0.03649714551481685,-0.06482953832621005,False,Truth Social Only,0.05363624954402714
fed_post_count,fwd_ret_7d,-0.05291305330134395,0.04808588948967985,-1.9783495536891471,1396,-0.02965970559558534,-0.06499535031006244,False,Truth Social Only,0.05291305330134395
