date,total_inflow_mm,source
2026-01-30,-252.87,sosovalue
2026-02-02,-2.86,sosovalue
2026-02-03,14.06,sosovalue
2026-02-04,-79.48,sosovalue
2026-02-05,-80.79,sosovalue
2026-02-06,-16.75,sosovalue
2026-02-09,57.05,sosovalue
2026-02-10,13.82,sosovalue
2026-02-11,-129.18,sosovalue
2026-02-12,-113.1,sosovalue
2026-02-13,10.26,sosovalue
2026-02-17,48.63,sosovalue
2026-02-18,-41.83,sosovalue
2026-02-19,-130.19,sosovalue
2026-02-20,0.02,sosovalue
2026-02-23,-49.48,sosovalue
2026-02-24,9.23,sosovalue
2026-02-25,157.14,sosovalue
2026-02-26,6.57,sosovalue
2026-02-27,-43.0,sosovalue
2026-03-02,38.69,sosovalue
2026-03-03,-10.75,sosovalue
2026-03-04,169.41,sosovalue
2026-03-05,-90.94,sosovalue
2026-03-06,-82.85,sosovalue
